Number,Date,End Time,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Volt,Max. Amp,Max. Time,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,Avg. KVA,Avg. PF,Avg. KVAR,Avg. Amp,KW Hours,Max. KW,Max. Time,Avg. KW,net(kW-H)-1,net(kW-H)-2,net(kW-H)-3,net(kW-H)-5,Net kW-H,Counts
,,,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,L3 Phase,L3 Phase,L3 Phase,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,3 Phase System Total,0,7.409,68.628,32.506,108.543,1060
16290,7/27/2016,4:20:00,122.979,3.89,4:19:03,2.93,0.019,0.241,4:19:03,0.232,0.466,0.6,0.373,122.979,3.89,4:19:03,2.93,0.019,0.241,4:19:03,0.232,0.466,0.6,0.373,122.979,3.89,4:19:03,2.93,0.019,0.241,4:19:03,0.232,0.466,0.6,0.373,2.93,0.019,0.241,4:19:03,0.232,0,0.019,0.023,0.019,0.061,1
16291,7/27/2016,4:25:00,123.088,3.9,4:24:47,2.93,0.019,0.242,4:24:47,0.232,0.467,0.6,0.374,123.088,3.9,4:24:47,2.93,0.019,0.242,4:24:47,0.232,0.467,0.6,0.374,123.088,3.9,4:24:47,2.93,0.019,0.242,4:24:47,0.232,0.467,0.6,0.374,2.93,0.019,0.242,4:24:47,0.232,0,0.019,0.023,0.019,0.061,1
16292,7/27/2016,4:30:00,123.24,3.89,4:29:28,2.94,0.019,0.242,4:29:28,0.234,0.469,0.6,0.375,123.24,3.89,4:29:28,2.94,0.019,0.242,4:29:28,0.234,0.469,0.6,0.375,123.24,3.89,4:29:28,2.94,0.019,0.242,4:29:28,0.234,0.469,0.6,0.375,2.94,0.019,0.242,4:29:28,0.234,0,0.019,0.023,0.019,0.061,1
16293,7/27/2016,4:35:00,123.339,3.91,4:31:37,2.94,0.019,0.243,4:31:37,0.231,0.47,0.59,0.377,123.339,3.91,4:31:37,2.94,0.019,0.243,4:31:37,0.231,0.47,0.59,0.377,123.339,3.91,4:31:37,2.94,0.019,0.243,4:31:37,0.231,0.47,0.59,0.377,2.94,0.019,0.243,4:31:37,0.231,0,0.019,0.023,0.019,0.061,1
16294,7/27/2016,4:40:00,123.271,3.89,4:39:51,2.94,0.019,0.24,4:39:51,0.229,0.468,0.59,0.376,123.271,3.89,4:39:51,2.94,0.019,0.24,4:39:51,0.229,0.468,0.59,0.376,123.271,3.89,4:39:51,2.94,0.019,0.24,4:39:51,0.229,0.468,0.59,0.376,2.94,0.019,0.24,4:39:51,0.229,0,0.019,0.023,0.019,0.061,1
16295,7/27/2016,4:45:00,123.214,3.89,4:40:24,2.94,0.019,0.242,4:40:24,0.232,0.468,0.59,0.375,123.214,3.89,4:40:24,2.94,0.019,0.242,4:40:24,0.232,0.468,0.59,0.375,123.214,3.89,4:40:24,2.94,0.019,0.242,4:40:24,0.232,0.468,0.59,0.375,2.94,0.019,0.242,4:40:24,0.232,0,0.019,0.023,0.019,0.061,1
16296,7/27/2016,4:50:00,123.033,3.89,4:49:49,2.93,0.019,0.24,4:49:49,0.23,0.467,0.6,0.374,123.033,3.89,4:49:49,2.93,0.019,0.24,4:49:49,0.23,0.467,0.6,0.374,123.033,3.89,4:49:49,2.93,0.019,0.24,4:49:49,0.23,0.467,0.6,0.374,2.93,0.019,0.24,4:49:49,0.23,0,0.019,0.023,0.019,0.061,1
16297,7/27/2016,4:55:00,123.142,3.89,4:52:14,2.93,0.019,0.241,4:52:14,0.23,0.468,0.59,0.376,123.142,3.89,4:52:14,2.93,0.019,0.241,4:52:14,0.23,0.468,0.59,0.376,123.142,3.89,4:52:14,2.93,0.019,0.241,4:52:14,0.23,0.468,0.59,0.376,2.93,0.019,0.241,4:52:14,0.23,0,0.019,0.023,0.019,0.061,1
16298,7/27/2016,5:00:00,122.949,3.89,4:57:26,2.92,0.019,0.241,4:57:26,0.229,0.467,0.59,0.374,122.949,3.89,4:57:26,2.92,0.019,0.241,4:57:26,0.229,0.467,0.59,0.374,122.949,3.89,4:57:26,2.92,0.019,0.241,4:57:26,0.229,0.467,0.59,0.374,2.92,0.019,0.241,4:57:26,0.229,0,0.019,0.023,0.019,0.061,1
16299,7/27/2016,5:05:00,122.727,3.89,5:01:54,2.92,0.019,0.238,5:01:54,0.227,0.465,0.59,0.373,122.727,3.89,5:01:54,2.92,0.019,0.238,5:01:54,0.227,0.465,0.59,0.373,122.727,3.89,5:01:54,2.92,0.019,0.238,5:01:54,0.227,0.465,0.59,0.373,2.92,0.019,0.238,5:01:54,0.227,0,0.019,0.023,0.019,0.061,1
16300,7/27/2016,5:10:00,122.551,3.87,5:09:48,2.91,0.019,0.238,5:09:48,0.228,0.463,0.6,0.371,122.551,3.87,5:09:48,2.91,0.019,0.238,5:09:48,0.228,0.463,0.6,0.371,122.551,3.87,5:09:48,2.91,0.019,0.238,5:09:48,0.228,0.463,0.6,0.371,2.91,0.019,0.238,5:09:48,0.228,0,0.019,0.023,0.019,0.061,1
16301,7/27/2016,5:15:00,122.548,3.87,5:10:58,2.91,0.019,0.238,5:10:58,0.227,0.463,0.6,0.371,122.548,3.87,5:10:58,2.91,0.019,0.238,5:10:58,0.227,0.463,0.6,0.371,122.548,3.87,5:10:58,2.91,0.019,0.238,5:10:58,0.227,0.463,0.6,0.371,2.91,0.019,0.238,5:10:58,0.227,0,0.019,0.023,0.019,0.061,1
16302,7/27/2016,5:20:00,122.425,3.87,5:16:21,2.91,0.019,0.236,5:16:21,0.226,0.461,0.6,0.369,122.425,3.87,5:16:21,2.91,0.019,0.236,5:16:21,0.226,0.461,0.6,0.369,122.425,3.87,5:16:21,2.91,0.019,0.236,5:16:21,0.226,0.461,0.6,0.369,2.91,0.019,0.236,5:16:21,0.226,0,0.019,0.023,0.019,0.061,1
16303,7/27/2016,5:25:00,122.386,3.86,5:20:48,2.91,0.019,0.235,5:20:48,0.225,0.461,0.6,0.369,122.386,3.86,5:20:48,2.91,0.019,0.235,5:20:48,0.225,0.461,0.6,0.369,122.386,3.86,5:20:48,2.91,0.019,0.235,5:20:48,0.225,0.461,0.6,0.369,2.91,0.019,0.235,5:20:48,0.225,0,0.019,0.023,0.019,0.061,1
16304,7/27/2016,5:30:00,122.529,3.88,5:29:57,2.91,0.019,0.236,5:29:57,0.225,0.462,0.6,0.37,122.529,3.88,5:29:57,2.91,0.019,0.236,5:29:57,0.225,0.462,0.6,0.37,122.529,3.88,5:29:57,2.91,0.019,0.236,5:29:57,0.225,0.462,0.6,0.37,2.91,0.019,0.236,5:29:57,0.225,0,0.019,0.023,0.019,0.061,1
16305,7/27/2016,5:35:00,122.956,3.89,5:33:41,2.93,0.019,0.239,5:33:41,0.228,0.466,0.59,0.374,122.956,3.89,5:33:41,2.93,0.019,0.239,5:33:41,0.228,0.466,0.59,0.374,122.956,3.89,5:33:41,2.93,0.019,0.239,5:33:41,0.228,0.466,0.59,0.374,2.93,0.019,0.239,5:33:41,0.228,0,0.019,0.023,0.019,0.061,1
16306,7/27/2016,5:40:00,122.925,3.88,5:38:17,2.92,0.019,0.238,5:38:17,0.227,0.466,0.59,0.374,122.925,3.88,5:38:17,2.92,0.019,0.238,5:38:17,0.227,0.466,0.59,0.374,122.925,3.88,5:38:17,2.92,0.019,0.238,5:38:17,0.227,0.466,0.59,0.374,2.92,0.019,0.238,5:38:17,0.227,0,0.019,0.023,0.019,0.061,1
16307,7/27/2016,5:45:00,122.621,3.88,5:44:30,2.92,0.019,0.24,5:44:30,0.227,0.463,0.59,0.372,122.621,3.88,5:44:30,2.92,0.019,0.24,5:44:30,0.227,0.463,0.59,0.372,122.621,3.88,5:44:30,2.92,0.019,0.24,5:44:30,0.227,0.463,0.59,0.372,2.92,0.019,0.24,5:44:30,0.227,0,0.019,0.023,0.019,0.061,1
16308,7/27/2016,5:50:00,121.963,3.85,5:49:26,2.9,0.019,0.243,5:49:26,0.225,0.457,0.6,0.365,121.963,3.85,5:49:26,2.9,0.019,0.243,5:49:26,0.225,0.457,0.6,0.365,121.963,3.85,5:49:26,2.9,0.019,0.243,5:49:26,0.225,0.457,0.6,0.365,2.9,0.019,0.243,5:49:26,0.225,0,0.018,0.023,0.019,0.06,1
16309,7/27/2016,5:55:00,122.126,3.86,5:52:22,2.9,0.019,0.24,5:52:22,0.227,0.459,0.6,0.366,122.126,3.86,5:52:22,2.9,0.019,0.24,5:52:22,0.227,0.459,0.6,0.366,122.126,3.86,5:52:22,2.9,0.019,0.24,5:52:22,0.227,0.459,0.6,0.366,2.9,0.019,0.24,5:52:22,0.227,0,0.018,0.023,0.019,0.06,1
16310,7/27/2016,6:00:00,122.061,3.86,5:58:48,2.9,0.019,0.24,5:58:48,0.226,0.458,0.6,0.366,122.061,3.86,5:58:48,2.9,0.019,0.24,5:58:48,0.226,0.458,0.6,0.366,122.061,3.86,5:58:48,2.9,0.019,0.24,5:58:48,0.226,0.458,0.6,0.366,2.9,0.019,0.24,5:58:48,0.226,0,0.018,0.023,0.019,0.06,1
16311,7/27/2016,6:05:00,121.7,3.84,6:01:53,2.89,0.018,0.233,6:01:53,0.221,0.455,0.6,0.363,121.7,3.84,6:01:53,2.89,0.018,0.233,6:01:53,0.221,0.455,0.6,0.363,121.7,3.84,6:01:53,2.89,0.018,0.233,6:01:53,0.221,0.455,0.6,0.363,2.89,0.018,0.233,6:01:53,0.221,0,0.018,0.023,0.018,0.059,1
16312,7/27/2016,6:10:00,121.664,3.84,6:09:00,2.89,0.018,0.231,6:09:00,0.22,0.455,0.6,0.363,121.664,3.84,6:09:00,2.89,0.018,0.231,6:09:00,0.22,0.455,0.6,0.363,121.664,3.84,6:09:00,2.89,0.018,0.231,6:09:00,0.22,0.455,0.6,0.363,2.89,0.018,0.231,6:09:00,0.22,0,0.018,0.023,0.018,0.059,1
16313,7/27/2016,6:15:00,121.566,3.84,6:11:31,2.88,0.019,0.233,6:11:31,0.223,0.454,0.6,0.362,121.566,3.84,6:11:31,2.88,0.019,0.233,6:11:31,0.223,0.454,0.6,0.362,121.566,3.84,6:11:31,2.88,0.019,0.233,6:11:31,0.223,0.454,0.6,0.362,2.88,0.019,0.233,6:11:31,0.223,0,0.018,0.023,0.019,0.06,1
16314,7/27/2016,6:20:00,121.472,3.83,6:16:47,2.88,0.019,0.234,6:16:47,0.224,0.454,0.6,0.362,121.472,3.83,6:16:47,2.88,0.019,0.234,6:16:47,0.224,0.454,0.6,0.362,121.472,3.83,6:16:47,2.88,0.019,0.234,6:16:47,0.224,0.454,0.6,0.362,2.88,0.019,0.234,6:16:47,0.224,0,0.018,0.023,0.019,0.06,1
16315,7/27/2016,6:25:00,121.524,3.83,6:22:14,2.88,0.019,0.236,6:22:14,0.223,0.453,0.6,0.361,121.524,3.83,6:22:14,2.88,0.019,0.236,6:22:14,0.223,0.453,0.6,0.361,121.524,3.83,6:22:14,2.88,0.019,0.236,6:22:14,0.223,0.453,0.6,0.361,2.88,0.019,0.236,6:22:14,0.223,0,0.018,0.023,0.019,0.06,1
16316,7/27/2016,6:30:00,121.66,3.84,6:26:49,2.89,0.018,0.233,6:26:49,0.221,0.454,0.6,0.363,121.66,3.84,6:26:49,2.89,0.018,0.233,6:26:49,0.221,0.454,0.6,0.363,121.66,3.84,6:26:49,2.89,0.018,0.233,6:26:49,0.221,0.454,0.6,0.363,2.89,0.018,0.233,6:26:49,0.221,0,0.018,0.023,0.018,0.059,1
16317,7/27/2016,6:35:00,121.652,3.83,6:30:45,2.89,0.018,0.227,6:30:45,0.218,0.453,0.6,0.362,121.652,3.83,6:30:45,2.89,0.018,0.227,6:30:45,0.218,0.453,0.6,0.362,121.652,3.83,6:30:45,2.89,0.018,0.227,6:30:45,0.218,0.453,0.6,0.362,2.89,0.018,0.227,6:30:45,0.218,0,0.018,0.023,0.018,0.059,1
16318,7/27/2016,6:40:00,121.916,3.83,6:38:03,2.9,0.018,0.233,6:38:03,0.218,0.455,0.6,0.364,121.916,3.83,6:38:03,2.9,0.018,0.233,6:38:03,0.218,0.455,0.6,0.364,121.916,3.83,6:38:03,2.9,0.018,0.233,6:38:03,0.218,0.455,0.6,0.364,2.9,0.018,0.233,6:38:03,0.218,0,0.018,0.023,0.018,0.059,1
16319,7/27/2016,6:45:00,121.938,3.84,6:41:33,2.9,0.018,0.231,6:41:33,0.22,0.456,0.6,0.364,121.938,3.84,6:41:33,2.9,0.018,0.231,6:41:33,0.22,0.456,0.6,0.364,121.938,3.84,6:41:33,2.9,0.018,0.231,6:41:33,0.22,0.456,0.6,0.364,2.9,0.018,0.231,6:41:33,0.22,0,0.018,0.023,0.018,0.059,1
16320,7/27/2016,6:50:00,121.879,3.83,6:49:03,2.89,0.018,0.226,6:49:03,0.215,0.455,0.59,0.365,121.879,3.83,6:49:03,2.89,0.018,0.226,6:49:03,0.215,0.455,0.59,0.365,121.879,3.83,6:49:03,2.89,0.018,0.226,6:49:03,0.215,0.455,0.59,0.365,2.89,0.018,0.226,6:49:03,0.215,0,0.018,0.022,0.018,0.058,1
16321,7/27/2016,6:55:00,122.164,3.86,6:52:53,2.9,0.019,0.234,6:52:53,0.222,0.458,0.6,0.367,122.164,3.86,6:52:53,2.9,0.019,0.234,6:52:53,0.222,0.458,0.6,0.367,122.164,3.86,6:52:53,2.9,0.019,0.234,6:52:53,0.222,0.458,0.6,0.367,2.9,0.019,0.234,6:52:53,0.222,0,0.018,0.023,0.019,0.06,1
16322,7/27/2016,7:00:00,122.864,3.87,6:56:51,2.92,0.019,0.242,6:56:51,0.223,0.464,0.59,0.372,122.864,3.87,6:56:51,2.92,0.019,0.242,6:56:51,0.223,0.464,0.59,0.372,122.864,3.87,6:56:51,2.92,0.019,0.242,6:56:51,0.223,0.464,0.59,0.372,2.92,0.019,0.242,6:56:51,0.223,0,0.019,0.023,0.019,0.061,1
16323,7/27/2016,7:05:00,122.639,3.86,7:04:53,2.92,0.019,0.235,7:04:53,0.224,0.462,0.59,0.37,122.639,3.86,7:04:53,2.92,0.019,0.235,7:04:53,0.224,0.462,0.59,0.37,122.639,3.86,7:04:53,2.92,0.019,0.235,7:04:53,0.224,0.462,0.59,0.37,2.92,0.019,0.235,7:04:53,0.224,0,0.019,0.023,0.019,0.061,1
16324,7/27/2016,7:10:00,122.615,3.86,7:07:36,2.92,0.019,0.234,7:07:36,0.224,0.462,0.6,0.37,122.615,3.86,7:07:36,2.92,0.019,0.234,7:07:36,0.224,0.462,0.6,0.37,122.615,3.86,7:07:36,2.92,0.019,0.234,7:07:36,0.224,0.462,0.6,0.37,2.92,0.019,0.234,7:07:36,0.224,0,0.019,0.023,0.019,0.061,1
16325,7/27/2016,7:15:00,122.437,3.85,7:10:22,2.91,0.018,0.23,7:10:22,0.22,0.459,0.59,0.368,122.437,3.85,7:10:22,2.91,0.018,0.23,7:10:22,0.22,0.459,0.59,0.368,122.437,3.85,7:10:22,2.91,0.018,0.23,7:10:22,0.22,0.459,0.59,0.368,2.91,0.018,0.23,7:10:22,0.22,0,0.018,0.023,0.018,0.059,1
16326,7/27/2016,7:20:00,123.034,3.88,7:17:31,2.93,0.018,0.233,7:17:31,0.222,0.464,0.59,0.374,123.034,3.88,7:17:31,2.93,0.018,0.233,7:17:31,0.222,0.464,0.59,0.374,123.034,3.88,7:17:31,2.93,0.018,0.233,7:17:31,0.222,0.464,0.59,0.374,2.93,0.018,0.233,7:17:31,0.222,0,0.019,0.023,0.018,0.06,1
16327,7/27/2016,7:25:00,123.088,3.88,7:20:51,2.93,0.019,0.234,7:20:51,0.223,0.465,0.59,0.373,123.088,3.88,7:20:51,2.93,0.019,0.234,7:20:51,0.223,0.465,0.59,0.373,123.088,3.88,7:20:51,2.93,0.019,0.234,7:20:51,0.223,0.465,0.59,0.373,2.93,0.019,0.234,7:20:51,0.223,0,0.019,0.023,0.019,0.061,1
16328,7/27/2016,7:30:00,123.127,3.88,7:26:57,2.93,0.019,0.237,7:26:57,0.225,0.466,0.59,0.374,123.127,3.88,7:26:57,2.93,0.019,0.237,7:26:57,0.225,0.466,0.59,0.374,123.127,3.88,7:26:57,2.93,0.019,0.237,7:26:57,0.225,0.466,0.59,0.374,2.93,0.019,0.237,7:26:57,0.225,0,0.019,0.023,0.019,0.061,1
16329,7/27/2016,7:35:00,122.903,3.87,7:33:33,2.92,0.019,0.236,7:33:33,0.222,0.464,0.59,0.373,122.903,3.87,7:33:33,2.92,0.019,0.236,7:33:33,0.222,0.464,0.59,0.373,122.903,3.87,7:33:33,2.92,0.019,0.236,7:33:33,0.222,0.464,0.59,0.373,2.92,0.019,0.236,7:33:33,0.222,0,0.019,0.023,0.019,0.061,1
16330,7/27/2016,7:40:00,123.008,3.87,7:39:08,2.93,0.019,0.236,7:39:08,0.222,0.464,0.59,0.373,123.008,3.87,7:39:08,2.93,0.019,0.236,7:39:08,0.222,0.464,0.59,0.373,123.008,3.87,7:39:08,2.93,0.019,0.236,7:39:08,0.222,0.464,0.59,0.373,2.93,0.019,0.236,7:39:08,0.222,0,0.019,0.023,0.019,0.061,1
16331,7/27/2016,7:45:00,122.911,3.87,7:43:51,2.93,0.018,0.236,7:43:51,0.222,0.464,0.59,0.373,122.911,3.87,7:43:51,2.93,0.018,0.236,7:43:51,0.222,0.464,0.59,0.373,122.911,3.87,7:43:51,2.93,0.018,0.236,7:43:51,0.222,0.464,0.59,0.373,2.93,0.018,0.236,7:43:51,0.222,0,0.019,0.023,0.018,0.06,1
16332,7/27/2016,7:50:00,122.778,3.87,7:49:00,2.92,0.019,0.235,7:49:00,0.225,0.463,0.59,0.371,122.778,3.87,7:49:00,2.92,0.019,0.235,7:49:00,0.225,0.463,0.59,0.371,122.778,3.87,7:49:00,2.92,0.019,0.235,7:49:00,0.225,0.463,0.59,0.371,2.92,0.019,0.235,7:49:00,0.225,0,0.019,0.023,0.019,0.061,1
16333,7/27/2016,7:55:00,122.856,3.88,7:50:24,2.92,0.019,0.236,7:50:24,0.224,0.464,0.59,0.373,122.856,3.88,7:50:24,2.92,0.019,0.236,7:50:24,0.224,0.464,0.59,0.373,122.856,3.88,7:50:24,2.92,0.019,0.236,7:50:24,0.224,0.464,0.59,0.373,2.92,0.019,0.236,7:50:24,0.224,0,0.019,0.023,0.019,0.061,1
16334,7/27/2016,8:00:00,122.897,3.88,7:59:56,2.93,0.019,0.235,7:59:56,0.222,0.464,0.59,0.373,122.897,3.88,7:59:56,2.93,0.019,0.235,7:59:56,0.222,0.464,0.59,0.373,122.897,3.88,7:59:56,2.93,0.019,0.235,7:59:56,0.222,0.464,0.59,0.373,2.93,0.019,0.235,7:59:56,0.222,0,0.019,0.023,0.019,0.061,1
16335,7/27/2016,8:05:00,122.97,3.88,8:03:16,2.93,0.019,0.237,8:03:16,0.226,0.465,0.59,0.373,122.97,3.88,8:03:16,2.93,0.019,0.237,8:03:16,0.226,0.465,0.59,0.373,122.97,3.88,8:03:16,2.93,0.019,0.237,8:03:16,0.226,0.465,0.59,0.373,2.93,0.019,0.237,8:03:16,0.226,0,0.019,0.023,0.019,0.061,1
16336,7/27/2016,8:10:00,122.728,3.88,8:09:23,2.92,0.019,0.239,8:09:23,0.225,0.463,0.59,0.371,122.728,3.88,8:09:23,2.92,0.019,0.239,8:09:23,0.225,0.463,0.59,0.371,122.728,3.88,8:09:23,2.92,0.019,0.239,8:09:23,0.225,0.463,0.59,0.371,2.92,0.019,0.239,8:09:23,0.225,0,0.019,0.023,0.019,0.061,1
16337,7/27/2016,8:15:00,122.417,3.87,8:13:53,2.91,0.019,0.237,8:13:53,0.225,0.461,0.6,0.369,122.417,3.87,8:13:53,2.91,0.019,0.237,8:13:53,0.225,0.461,0.6,0.369,122.417,3.87,8:13:53,2.91,0.019,0.237,8:13:53,0.225,0.461,0.6,0.369,2.91,0.019,0.237,8:13:53,0.225,0,0.019,0.023,0.019,0.061,1
16338,7/27/2016,8:20:00,122.356,3.87,8:15:57,2.9,0.019,0.239,8:15:57,0.225,0.46,0.59,0.369,122.356,3.87,8:15:57,2.9,0.019,0.239,8:15:57,0.225,0.46,0.59,0.369,122.356,3.87,8:15:57,2.9,0.019,0.239,8:15:57,0.225,0.46,0.59,0.369,2.9,0.019,0.239,8:15:57,0.225,0,0.019,0.023,0.019,0.061,1
16339,7/27/2016,8:25:00,122.446,3.87,8:24:02,2.91,0.019,0.236,8:24:02,0.225,0.461,0.59,0.37,122.446,3.87,8:24:02,2.91,0.019,0.236,8:24:02,0.225,0.461,0.59,0.37,122.446,3.87,8:24:02,2.91,0.019,0.236,8:24:02,0.225,0.461,0.59,0.37,2.91,0.019,0.236,8:24:02,0.225,0,0.019,0.023,0.019,0.061,1
16340,7/27/2016,8:30:00,122.496,3.88,8:28:59,2.91,0.019,0.24,8:28:59,0.226,0.462,0.59,0.37,122.496,3.88,8:28:59,2.91,0.019,0.24,8:28:59,0.226,0.462,0.59,0.37,122.496,3.88,8:28:59,2.91,0.019,0.24,8:28:59,0.226,0.462,0.59,0.37,2.91,0.019,0.24,8:28:59,0.226,0,0.019,0.023,0.019,0.061,1
16341,7/27/2016,8:35:00,122.541,3.87,8:33:22,2.91,0.019,0.238,8:33:22,0.226,0.462,0.59,0.371,122.541,3.87,8:33:22,2.91,0.019,0.238,8:33:22,0.226,0.462,0.59,0.371,122.541,3.87,8:33:22,2.91,0.019,0.238,8:33:22,0.226,0.462,0.59,0.371,2.91,0.019,0.238,8:33:22,0.226,0,0.019,0.023,0.019,0.061,1
16342,7/27/2016,8:40:00,122.404,3.87,8:38:27,2.91,0.019,0.241,8:38:27,0.225,0.461,0.59,0.37,122.404,3.87,8:38:27,2.91,0.019,0.241,8:38:27,0.225,0.461,0.59,0.37,122.404,3.87,8:38:27,2.91,0.019,0.241,8:38:27,0.225,0.461,0.59,0.37,2.91,0.019,0.241,8:38:27,0.225,0,0.019,0.023,0.019,0.061,1
16343,7/27/2016,8:45:00,122.344,3.87,8:43:53,2.9,0.019,0.235,8:43:53,0.224,0.46,0.59,0.369,122.344,3.87,8:43:53,2.9,0.019,0.235,8:43:53,0.224,0.46,0.59,0.369,122.344,3.87,8:43:53,2.9,0.019,0.235,8:43:53,0.224,0.46,0.59,0.369,2.9,0.019,0.235,8:43:53,0.224,0,0.018,0.023,0.019,0.06,1
16344,7/27/2016,8:50:00,122.345,3.86,8:45:00,2.91,0.018,0.232,8:45:00,0.221,0.46,0.59,0.369,122.345,3.86,8:45:00,2.91,0.018,0.232,8:45:00,0.221,0.46,0.59,0.369,122.345,3.86,8:45:00,2.91,0.018,0.232,8:45:00,0.221,0.46,0.59,0.369,2.91,0.018,0.232,8:45:00,0.221,0,0.018,0.023,0.018,0.059,1
16345,7/27/2016,8:55:00,122.136,3.85,8:50:32,2.9,0.018,0.233,8:50:32,0.221,0.458,0.6,0.367,122.136,3.85,8:50:32,2.9,0.018,0.233,8:50:32,0.221,0.458,0.6,0.367,122.136,3.85,8:50:32,2.9,0.018,0.233,8:50:32,0.221,0.458,0.6,0.367,2.9,0.018,0.233,8:50:32,0.221,0,0.018,0.023,0.018,0.059,1
16346,7/27/2016,9:00:00,122.022,3.86,8:56:33,2.9,0.018,0.233,8:56:33,0.219,0.457,0.6,0.366,122.022,3.86,8:56:33,2.9,0.018,0.233,8:56:33,0.219,0.457,0.6,0.366,122.022,3.86,8:56:33,2.9,0.018,0.233,8:56:33,0.219,0.457,0.6,0.366,2.9,0.018,0.233,8:56:33,0.219,0,0.018,0.023,0.018,0.059,1
16347,7/27/2016,9:05:00,122.007,3.85,9:00:26,2.9,0.018,0.23,9:00:26,0.218,0.456,0.59,0.366,122.007,3.85,9:00:26,2.9,0.018,0.23,9:00:26,0.218,0.456,0.59,0.366,122.007,3.85,9:00:26,2.9,0.018,0.23,9:00:26,0.218,0.456,0.59,0.366,2.9,0.018,0.23,9:00:26,0.218,0,0.018,0.023,0.018,0.059,1
16348,7/27/2016,9:10:00,121.971,3.86,9:07:13,2.89,0.018,0.233,9:07:13,0.221,0.458,0.59,0.367,121.971,3.86,9:07:13,2.89,0.018,0.233,9:07:13,0.221,0.458,0.59,0.367,121.971,3.86,9:07:13,2.89,0.018,0.233,9:07:13,0.221,0.458,0.59,0.367,2.89,0.018,0.233,9:07:13,0.221,0,0.018,0.023,0.018,0.059,1
16349,7/27/2016,9:15:00,121.903,3.86,9:11:11,2.89,0.018,0.232,9:11:11,0.22,0.457,0.6,0.366,121.903,3.86,9:11:11,2.89,0.018,0.232,9:11:11,0.22,0.457,0.6,0.366,121.903,3.86,9:11:11,2.89,0.018,0.232,9:11:11,0.22,0.457,0.6,0.366,2.89,0.018,0.232,9:11:11,0.22,0,0.018,0.023,0.018,0.059,1
16350,7/27/2016,9:20:00,121.916,3.9,9:17:40,2.89,0.018,0.228,9:17:40,0.219,0.457,0.59,0.366,121.916,3.9,9:17:40,2.89,0.018,0.228,9:17:40,0.219,0.457,0.59,0.366,121.916,3.9,9:17:40,2.89,0.018,0.228,9:17:40,0.219,0.457,0.59,0.366,2.89,0.018,0.228,9:17:40,0.219,0,0.018,0.023,0.018,0.059,1
16351,7/27/2016,9:25:00,122.096,3.87,9:22:42,2.9,0.018,0.231,9:22:42,0.22,0.458,0.59,0.368,122.096,3.87,9:22:42,2.9,0.018,0.231,9:22:42,0.22,0.458,0.59,0.368,122.096,3.87,9:22:42,2.9,0.018,0.231,9:22:42,0.22,0.458,0.59,0.368,2.9,0.018,0.231,9:22:42,0.22,0,0.018,0.023,0.018,0.059,1
16352,7/27/2016,9:30:00,122.041,3.87,9:29:02,2.9,0.018,0.239,9:29:02,0.221,0.458,0.59,0.367,122.041,3.87,9:29:02,2.9,0.018,0.239,9:29:02,0.221,0.458,0.59,0.367,122.041,3.87,9:29:02,2.9,0.018,0.239,9:29:02,0.221,0.458,0.59,0.367,2.9,0.018,0.239,9:29:02,0.221,0,0.018,0.023,0.018,0.059,1
16353,7/27/2016,9:35:00,121.818,3.84,9:31:52,2.89,0.018,0.236,9:31:52,0.217,0.455,0.59,0.365,121.818,3.84,9:31:52,2.89,0.018,0.236,9:31:52,0.217,0.455,0.59,0.365,121.818,3.84,9:31:52,2.89,0.018,0.236,9:31:52,0.217,0.455,0.59,0.365,2.89,0.018,0.236,9:31:52,0.217,0,0.018,0.023,0.018,0.059,1
16354,7/27/2016,9:40:00,121.914,24.81,9:37:40,1.85,0.012,2.48,9:37:40,0.138,0.297,0.61,0.229,121.914,24.81,9:37:40,1.85,0.012,2.48,9:37:40,0.138,0.297,0.61,0.229,121.914,24.81,9:37:40,1.85,0.012,2.48,9:37:40,0.138,0.297,0.61,0.229,1.85,0.012,2.48,9:37:40,0.138,0,0.011,0.015,0.012,0.038,1
16355,7/27/2016,9:45:00,121.952,26.08,9:43:03,2.87,0.018,2.43,9:43:03,0.219,0.455,0.6,0.364,121.952,26.08,9:43:03,2.87,0.018,2.43,9:43:03,0.219,0.455,0.6,0.364,121.952,26.08,9:43:03,2.87,0.018,2.43,9:43:03,0.219,0.455,0.6,0.364,2.87,0.018,2.43,9:43:03,0.219,0,0.018,0.023,0.018,0.059,1
